block,user,collateral_asset,debt_asset,debt_to_cover,liquidated_amount,gross_profit,flash_loan_fee,gas_cost,swap_slippage,net_profit,net_profit_pct
464200724,0x4c9a490488f4d1e63c86de5303dab276a9258621,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xaf88d065e77c8cc2239327c5edb3a432268e5831,4385229670,2204236662673220550,2204236658287991296,2192614,50,6612709988019662,2197623948297778688,50114226931.64846
464200724,0xbd5a76f59df49527e47df66d7d7b5590a237871d,0x35751007a407ca6feffe80b3cb397736d2cf4dbe,0xaf88d065e77c8cc2239327c5edb3a432268e5831,80405499769,37705289602173810074,37705289521768308736,40202749,50,113115868806521440,37592173652921589760,46753236732.46427
464370332,0xa22f4dab60fb06ad1a0619670a5eda7fe9744901,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,5510857,5758846,247989,2755,50,0,245183,4.449100593610041
464430793,0xd740f79ff8e94c6028995d7ed35f379287b5e610,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,55809126,58320536,2511409,27904,50,0,2483455,4.449909208397203
464521615,0x4e457011b6e337efa743f2bdbc557bf8b37adadb,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,8157515208616520,8526,-8157515208607994,4078757604308,50,25,-8161593966212378,-100.04999999989641
464561457,0x0bb1c41844a3f6b5079218f80acb6e3b4dd366fa,0x912ce59144191c1204e64559fe8253a0e49e6548,0x5979d7b546e38e414f7e9822514be443a4800529,925830,23000798529,22999872699,462,50,69002395,22930869790,2476790.53287299
464638881,0x33394e3cc751b50836af1a22ab63517c5627b1ed,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,1940911999702503,961009327722,-1939950990374781,970455999851,50,2883027983,-1940924329402665,-100.00063525292049
464660755,0x49c4fddce8362c25fb7c7e5c2054ec78f5c1b7e6,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6708,7009,300,3,50,0,247,3.691800834824078
464663930,0xf26e9ed6fae2c8366c2863cd98620bfe4d0295fc,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,42716,44638,1922,21,50,0,1850,4.332432812061055
